rank,major,degree_type,early_career_pay,mid_career_pay,high_meaning_pct,total_tuition_cost,salary_advantage,years_to_break_even,lifetime_advantage,category
1,Petroleum Engineering,Bachelors,98100.0,212100.0,60.0,106372,58100.0,1.830843373493976,5637628.0,Engineering & Technology
2,Operations Research & Industrial Engineering,Bachelors,101200.0,202600.0,21.0,106372,61200.0,1.7381045751633988,5383628.0,Engineering & Technology
3,Electrical Engineering & Computer Science (EECS),Bachelors,128500.0,192300.0,45.0,106372,88500.0,1.2019435028248588,5347628.0,Engineering & Technology
4,Interaction Design,Bachelors,77400.0,178800.0,55.0,106372,37400.0,2.8441711229946525,4431628.0,Arts & Communications
5,Building Science,Bachelors,71100.0,172400.0,46.0,106372,31100.0,3.42032154340836,4176628.0,Sciences & Mathematics
6,Applied Economics and Management,Bachelors,81200.0,169300.0,47.0,106372,41200.0,2.5818446601941747,4184628.0,Business & Economics
7,Actuarial Mathematics,Bachelors,71200.0,167500.0,48.0,106372,31200.0,3.4093589743589745,4030628.0,Sciences & Mathematics
8,Optical Science & Engineering,Bachelors,81500.0,166400.0,73.0,106372,41500.0,2.563180722891566,4100628.0,Engineering & Technology
9,Quantitative Economics,Bachelors,78400.0,165100.0,43.0,106372,38400.0,2.7701041666666666,4030628.0,Business & Economics
10,Operations Research,Bachelors,94900.0,164900.0,56.0,106372,54900.0,1.9375591985428051,4189628.0,Other
11,Systems Engineering,Bachelors,89700.0,163800.0,57.0,106372,49700.0,2.1402816901408452,4104628.0,Engineering & Technology
12,Information & Computer Science,Bachelors,73200.0,162900.0,65.0,106372,33200.0,3.2039759036144577,3912628.0,Engineering & Technology
13,Public Accounting,Bachelors,71500.0,162200.0,47.0,106372,31500.0,3.376888888888889,3874628.0,Business & Economics
14,Cognitive Science,Bachelors,80300.0,162100.0,43.0,106372,40300.0,2.6395037220843673,3959628.0,Sciences & Mathematics
15,Aeronautics & Astronautics,Bachelors,89800.0,161600.0,60.0,106372,49800.0,2.135983935742972,4039628.0,Other
16,Aerospace Studies,Bachelors,64500.0,158400.0,,106372,24500.0,4.341714285714286,3690628.0,Other
17,Pharmacy,Bachelors,71500.0,158000.0,80.0,106372,31500.0,3.376888888888889,3748628.0,Health & Medicine
18,Managerial Economics,Bachelors,78200.0,157800.0,38.0,106372,38200.0,2.784607329842932,3809628.0,Business & Economics
19,Foreign Affairs,Bachelors,65200.0,157700.0,32.0,106372,25200.0,4.221111111111111,3676628.0,Other
20,Political Economy,Bachelors,75800.0,156700.0,30.0,106372,35800.0,2.9712849162011175,3752628.0,Other
21,Chemical Engineering,Bachelors,87700.0,156100.0,54.0,106372,47700.0,2.230020964360587,3853628.0,Engineering & Technology
21,Marine Transportation Management,Bachelors,78500.0,156100.0,,106372,38500.0,2.762909090909091,3761628.0,Business & Economics
23,Computer Science (CS) & Engineering,Bachelors,93500.0,154100.0,44.0,106372,53500.0,1.9882616822429906,3851628.0,Engineering & Technology
24,Corporate Accounting & Finance,Bachelors,79100.0,154000.0,,106372,39100.0,2.7205115089514065,3704628.0,Business & Economics
25,Computer Engineering (CE),Bachelors,92000.0,153800.0,46.0,106372,52000.0,2.0456153846153846,3827628.0,Engineering & Technology
26,Electrical Power Engineering,Bachelors,87200.0,152700.0,71.0,106372,47200.0,2.25364406779661,3746628.0,Engineering & Technology
27,Marine Engineering,Bachelors,89400.0,151800.0,54.0,106372,49400.0,2.1532793522267206,3741628.0,Engineering & Technology
28,Electrical & Computer Engineering (ECE),Bachelors,91100.0,151300.0,48.0,106372,51100.0,2.0816438356164384,3743628.0,Engineering & Technology
29,Econometrics,Bachelors,74200.0,150900.0,35.0,106372,34200.0,3.1102923976608188,3562628.0,Other
30,Actuarial Science,Bachelors,78500.0,150000.0,41.0,106372,38500.0,2.762909090909091,3578628.0,Sciences & Mathematics
30,Astronomy,Bachelors,77000.0,150000.0,52.0,106372,37000.0,2.874918918918919,3563628.0,Other
32,Mechatronics,Bachelors,83300.0,148600.0,46.0,106372,43300.0,2.4566281755196306,3584628.0,Other
33,Computational & Applied Mathematics,Bachelors,88200.0,148200.0,46.0,106372,48200.0,2.2068879668049792,3621628.0,Sciences & Mathematics
33,Construction Engineering Management,Bachelors,81700.0,148200.0,52.0,106372,41700.0,2.5508872901678656,3556628.0,Engineering & Technology
35,Aeronautical Engineering,Bachelors,86500.0,147200.0,64.0,106372,46500.0,2.2875698924731185,3574628.0,Engineering & Technology
35,Electrical Engineering (EE),Bachelors,87500.0,147200.0,53.0,106372,47500.0,2.2394105263157895,3584628.0,Engineering & Technology
37,Naval Architecture & Marine Engineering,Bachelors,85300.0,147000.0,51.0,106372,45300.0,2.348167770419426,3556628.0,Engineering & Technology
38,Instrumentation & Control Engineering,Bachelors,83800.0,146600.0,45.0,106372,43800.0,2.4285844748858447,3529628.0,Engineering & Technology
38,Ocean Engineering (OE),Bachelors,80300.0,146600.0,49.0,106372,40300.0,2.6395037220843673,3494628.0,Engineering & Technology
40,Electrical & Electronics Engineering (EEE),Bachelors,86300.0,146400.0,56.0,106372,46300.0,2.297451403887689,3548628.0,Engineering & Technology
41,Quantitative Business Analysis,Bachelors,86300.0,145000.0,36.0,106372,46300.0,2.297451403887689,3506628.0,Business & Economics
42,Computer Science (CS) & Mathematics,Bachelors,82800.0,144900.0,46.0,106372,42800.0,2.4853271028037383,3468628.0,Engineering & Technology
