type,year,tuition_type,tuition_cost,year_numeric
All Institutions,1985-86,4 Year Constant,12274,1985
All Institutions,1995-96,4 Year Constant,16224,1995
All Institutions,2000-01,4 Year Constant,17909,2000
All Institutions,2001-02,4 Year Constant,18573,2001
All Institutions,2002-03,4 Year Constant,19240,2002
All Institutions,2003-04,4 Year Constant,20218,2003
All Institutions,2004-05,4 Year Constant,20899,2004
All Institutions,2005-06,4 Year Constant,21281,2005
All Institutions,2006-07,4 Year Constant,21956,2006
All Institutions,2007-08,4 Year Constant,22194,2007
All Institutions,2008-09,4 Year Constant,23071,2008
All Institutions,2009-10,4 Year Constant,23652,2009
All Institutions,2010-11,4 Year Constant,24227,2010
All Institutions,2011-12,4 Year Constant,24537,2011
All Institutions,2012-13,4 Year Constant,25037,2012
All Institutions,2013-14,4 Year Constant,25509,2013
All Institutions,2014-15,4 Year Constant,26051,2014
All Institutions,2015-16,4 Year Constant,26613,2015
All Institutions,2016-17,4 Year Constant,26593,2016
